iter	Passed	Remaining
0	8	3051
1	21	3583
2	31	3543
3	43	3670
4	55	3717
5	63	3522
6	72	3477
7	81	3384
8	92	3428
9	104	3442
10	115	3461
11	124	3406
12	134	3402
13	146	3431
14	156	3403
15	168	3414
16	178	3402
17	190	3424
18	202	3424
19	206	3315
20	217	3312
21	228	3316
22	239	3313
23	251	3318
24	263	3332
25	270	3275
26	278	3241
27	286	3205
28	293	3161
29	304	3152
30	314	3144
31	328	3168
32	340	3177
33	353	3193
34	365	3194
35	377	3198
36	391	3212
37	402	3210
38	409	3168
39	419	3153
40	428	3133
41	437	3113
42	448	3106
43	459	3099
44	467	3072
45	476	3055
46	484	3032
47	488	2982
48	496	2957
49	503	2930
50	514	2922
51	525	2921
52	539	2930
53	551	2930
54	556	2895
55	563	2869
56	575	2868
57	585	2854
58	591	2825
59	599	2806
60	608	2793
61	620	2793
62	624	2757
63	633	2742
64	645	2740
65	656	2733
66	666	2724
67	676	2717
68	688	2713
69	699	2709
70	711	2705
71	722	2700
72	727	2669
73	736	2656
74	747	2649
75	758	2644
76	769	2639
77	772	2604
78	781	2590
79	789	2577
80	800	2571
81	812	2566
82	817	2542
83	830	2539
84	846	2548
85	859	2548
86	871	2544
87	884	2542
88	895	2535
89	906	2527
90	918	2524
91	929	2515
92	940	2506
93	951	2500
94	961	2489
95	972	2482
96	985	2478
97	991	2457
98	1000	2445
99	1011	2437
100	1023	2431
101	1028	2410
102	1030	2382
103	1035	2358
104	1044	2348
105	1056	2342
106	1066	2332
107	1073	2315
108	1082	2305
109	1094	2298
110	1105	2291
111	1110	2270
112	1119	2258
113	1132	2255
114	1144	2249
115	1157	2244
116	1169	2238
117	1180	2230
118	1191	2223
119	1205	2220
120	1222	2223
121	1239	2225
122	1252	2220
123	1266	2217
124	1280	2212
125	1292	2204
126	1306	2201
127	1320	2197
128	1332	2189
129	1345	2183
130	1355	2173
131	1367	2165
132	1379	2157
133	1389	2146
134	1402	2140
135	1415	2134
136	1421	2116
137	1434	2109
138	1448	2105
139	1460	2097
140	1467	2081
141	1476	2069
142	1488	2061
143	1500	2053
144	1511	2042
145	1523	2035
146	1530	2019
147	1539	2007
148	1543	1989
149	1552	1977
150	1564	1968
151	1575	1958
152	1587	1950
153	1600	1943
154	1610	1932
155	1623	1924
156	1636	1917
157	1650	1912
158	1663	1904
159	1672	1891
160	1682	1881
161	1690	1867
162	1694	1850
163	1706	1841
164	1718	1833
165	1732	1826
166	1743	1817
167	1751	1803
168	1762	1793
169	1774	1785
170	1786	1776
171	1799	1768
172	1805	1752
173	1807	1734
174	1810	1717
175	1816	1703
176	1829	1694
177	1840	1685
178	1852	1676
179	1864	1667
180	1876	1658
181	1881	1644
182	1891	1632
183	1901	1622
184	1913	1613
185	1924	1603
186	1929	1588
187	1933	1573
188	1945	1564
189	1959	1557
190	1965	1543
191	1968	1527
192	1978	1517
193	1989	1507
194	2000	1498
195	2007	1485
196	2018	1475
197	2031	1467
198	2043	1458
199	2056	1449
200	2062	1436
201	2080	1431
202	2093	1422
203	2106	1414
204	2118	1405
205	2131	1397
206	2137	1384
207	2141	1369
208	2146	1355
209	2156	1345
210	2168	1335
211	2178	1325
212	2191	1317
213	2202	1307
214	2214	1297
215	2220	1285
216	2230	1274
217	2241	1264
218	2251	1254
219	2262	1244
220	2274	1235
221	2286	1225
222	2292	1212
223	2300	1201
224	2311	1191
225	2324	1182
226	2335	1172
227	2348	1163
228	2357	1153
229	2365	1141
230	2374	1130
231	2387	1121
232	2399	1112
233	2410	1102
234	2420	1091
235	2429	1080
236	2440	1070
237	2453	1061
238	2463	1051
239	2475	1041
240	2488	1032
241	2499	1022
242	2511	1012
243	2524	1003
244	2537	994
245	2548	984
246	2561	974
247	2572	964
248	2585	955
249	2597	945
250	2609	935
251	2619	925
252	2630	915
253	2642	904
254	2653	894
255	2659	882
256	2667	871
257	2680	862
258	2691	852
259	2703	842
260	2713	831
261	2724	821
262	2736	811
263	2746	801
264	2758	790
265	2769	780
266	2781	770
267	2791	760
268	2802	750
269	2806	738
270	2816	727
271	2828	717
272	2839	707
273	2849	696
274	2859	686
275	2871	676
276	2877	664
277	2887	654
278	2897	643
279	2906	633
280	2917	622
281	2929	612
282	2939	602
283	2951	592
284	2962	582
285	2972	571
286	2983	561
287	2994	551
288	3004	540
289	3015	530
290	3026	519
291	3037	509
292	3048	499
293	3060	489
294	3070	478
295	3081	468
296	3092	458
297	3104	447
298	3115	437
299	3128	427
300	3148	418
301	3168	409
302	3190	400
303	3203	389
304	3216	379
305	3232	369
306	3247	359
307	3261	349
308	3281	339
309	3297	329
310	3312	319
311	3324	309
312	3335	298
313	3349	287
314	3363	277
315	3376	267
316	3388	256
317	3400	245
318	3413	235
319	3425	224
320	3439	214
321	3452	203
322	3464	193
323	3473	182
324	3486	171
325	3496	160
326	3505	150
327	3518	139
328	3530	128
329	3543	118
330	3555	107
331	3566	96
332	3577	85
333	3588	75
334	3600	64
335	3612	53
336	3625	43
337	3635	32
338	3646	21
339	3658	10
340	3671	0
